number,date,location,business,types,qualification
490,10411,萬里區,愛琴海太平洋溫泉會館,男湯,合格
491,10411,金山區,陽明山休閒旅館,男湯,合格
492,10411,金山區,天一方溫泉,湯屋,合格
493,10411,金山區,陽明山水會館,男湯,合格
494,10411,金山區,八煙溫泉會館(唯一八煙股份有限公司),女湯,合格
495,10411,金山區,萬里仙境溫泉會館,湯屋,合格
496,10411,淡水區,福容溫泉會館(福容大飯店股份有限公司淡水分公司),男湯,合格
497,10411,淡水區,福容大飯店漁人碼頭,女湯,合格
498,10411,三峽區,大板根森林溫泉渡假村(大板根育樂事業(股)公司),個人池,合格
499,10411,三峽區,大板根森林溫泉渡假村(大板根育樂事業(股)公司),湯屋,合格
500,10411,貢寮區,福容大飯店福隆,大眾池,合格
501,10411,新店區,花漾水舞溫泉會館(楓戀休閒有限公司),家庭池,合格
502,10412,三重區,名人三溫暖,溫水池,合格
503,10412,淡水區,金湯川溫泉旅館,湯屋,合格
504,10412,淡水區,海中天溫泉飯店(海中天育樂開發股份有限公司),大眾池,合格
505,10412,淡水區,福容大飯店漁人碼頭,男湯,合格
506,10412,淡水區,福容大飯店漁人碼頭,男湯,合格
507,10412,土城區,有馬溫泉旅館,溫泉池,合格
508,10412,三峽區,大板根森林溫泉渡假村(大板根育樂事業(股)公司),湯屋,合格
509,10412,三峽區,台北三峽福容大飯店(三鶯分公司),溫泉池,合格
510,10412,金山區,湯語雙泉會館,大眾池,合格
511,10412,金山區,和昇會館攬月會館,湯屋,合格
512,10412,金山區,陽明山天籟溫泉會館,男大眾池,合格
513,10412,金山區,天一方溫泉,湯屋,合格
514,10412,金山區,金山海灣溫泉旅館,212湯屋,合格
515,10412,金山區,陽明山休閒旅館,湯屋,不合格
516,10412,金山區,陽明山休閒旅館,女大眾池,合格
517,10412,萬里區,水田園SPA溫泉農莊,湯屋,合格
518,10412,萬里區,香草花源溫泉養生館,湯屋,合格
519,10412,萬里區,金湧泉汽車旅館,湯屋,合格
520,10412,萬里區,小坂溫泉浴室,湯屋,合格
521,10412,萬里區,火山浴硫磺溫泉會館,湯屋,合格
522,10412,萬里區,沐川溫泉,湯屋,合格
523,10412,萬里區,金湯溫泉會館,湯屋,合格
524,10412,萬里區,硫磺泉汽車旅館,湯屋,合格
525,10412,萬里區,萬金溫泉會館,湯屋,合格
526,10412,萬里區,沐舍溫泉度假酒店,湯屋,合格
527,10412,萬里區,金湧泉SPA溫泉會館,大眾池,合格
528,10412,萬里區,太福育樂股份有限公司,大眾池,合格
529,10412,萬里區,愛琴海太平洋溫泉會館,大眾池,合格
530,10412,新店區,矽谷溫泉會館,個人池,合格
531,10412,烏來區,湯館溫泉,家庭池,合格
532,10412,烏來區,美人湯溫泉會館股份有限公司,家庭池,合格
533,10412,烏來區,三好米溫泉會館(有限公司),家庭池,合格
534,10412,烏來區,雲頂溫泉行館,家庭池,合格
535,10412,烏來區,雲景溫泉渡假山莊,家庭池,合格
536,10412,烏來區,艾瑪仕旅店,家庭池,合格
537,10412,烏來區,可米花園溫泉汽車會館(可米花園國際股份有限公司),家庭池,合格
538,10412,烏來區,白水世界民宿,家庭池,合格
539,10412,烏來區,泉世界溫泉會館,家庭池,合格
540,10412,烏來區,山水妍溫泉會館,家庭池,合格
541,10412,烏來區,泰雅達利溫泉會館,家庭池,合格
542,10412,烏來區,那魯灣溫泉飯店,家庭池,合格
543,10412,烏來區,花悅溫泉會館,家庭池,合格
544,10412,烏來區,長青溫泉民宿,家庭池,合格
545,10412,烏來區,伊豆溫泉會館,家庭池,合格
546,10412,烏來區,阿信溫泉(阿湯哥),家庭池,合格
547,10412,烏來區,情人溫泉民宿,家庭池,合格
548,10412,烏來區,湯布苑溫泉館,家庭池,合格
549,10412,烏來區,鶴雅溫泉會館,家庭池,合格
550,10412,烏來區,龍門溫泉民宿,家庭池,合格
551,10412,烏來區,龍門溫泉民宿,家庭池,合格
552,10412,烏來區,秀山飯店,家庭池,合格
553,10412,三峽區,台北三峽福容大飯店(三鶯分公司),男三溫暖池,合格
554,10412,烏來區,璞石麗緻溫泉會館(樸石旅館股份有限公司),家庭池,合格
555,10412,金山區,綠峰渡假山莊,湯屋,合格
556,10412,金山區,八煙溫泉會館(唯一八煙股份有限公司),大眾池(男),合格
557,10412,金山區,陽明山水會館,湯屋,合格
558,10412,金山區,奇峰石溫泉山莊,湯屋,合格
559,10412,三峽區,台北三峽福容大飯店(三鶯分公司),溫泉池,合格
560,10412,三峽區,大板根森林溫泉渡假村(大板根育樂事業(股)公司),湯屋溫泉池,合格
561,10412,淡水區,福容溫泉會館(福容大飯店股份有限公司淡水分公司),男大眾池,合格
562,10412,淡水區,海中天溫泉飯店(海中天育樂開發股份有限公司),大眾池,合格
563,10412,淡水區,福容大飯店漁人碼頭,男大眾池,合格
564,10412,新店區,矽谷溫泉會館,個人池,合格
565,10412,新店區,花漾水舞溫泉會館(楓戀休閒有限公司),家庭池,合格
566,10412,新店區,碧逸溫泉會館,家庭池,合格
567,10412,萬里區,三金庚子坪休閒旅館,大眾池,合格
568,10412,萬里區,萬里仙境溫泉會館,湯屋,合格
569,10412,萬里區,緹閣休閒溫泉會館,湯屋,合格
570,10412,萬里區,萬金溫泉會館,湯屋,合格
571,10412,萬里區,愛琴海太平洋溫泉會館,男湯,合格
572,10412,萬里區,太福育樂股份有限公司,男湯,合格
573,10412,烏來區,艾瑪仕旅店,家庭池,合格
574,10412,烏來區,富米有景觀溫泉館,家庭池,合格
575,10412,烏來區,美人湯溫泉會館股份有限公司,家庭池,合格
576,10412,烏來區,慈云溫泉會館有限公司,家庭池,合格
577,10412,烏來區,秀山飯店,家庭池,合格
578,10412,烏來區,龍門溫泉民宿,家庭池,合格
579,10412,烏來區,山水妍溫泉會館,家庭池,合格
580,10412,烏來區,大山溫泉民宿,家庭池,合格
581,10412,烏來區,拉結之都(原大自然溫泉館),家庭池,合格
582,10412,烏來區,可米花園溫泉汽車會館(可米花園國際股份有限公司),家庭池,合格
583,10412,烏來區,長青溫泉民宿,家庭池,合格
584,10412,烏來區,御溫泉養生會館(紅河谷休閒事業股份有限公司),家庭池,合格
585,10412,烏來區,堤畔溫泉民宿,家庭池,合格
586,10412,烏來區,馥蘭朵渡假飯店(烏來),家庭池,合格
587,10412,烏來區,山之川溫泉會館(山之川餐坊),家庭池,合格
588,10412,烏來區,烏來名湯溫泉會館,家庭池,合格
589,10412,烏來區,天池溫泉,家庭池,合格
590,10412,烏來區,小川源溫泉館,家庭池,合格
591,10412,烏來區,雲之東風國際有限公司(東風),家庭池,合格
592,10412,烏來區,雙鹿溫泉,家庭池,合格
593,10412,烏來區,明月溫泉會館,家庭池,合格
594,10412,金山區,金山青年活動中心,大眾池,合格
595,10412,金山區,舊金山總督溫泉,湯屋,合格
596,10412,金山區,楓月小集,湯屋,合格
597,10412,金山區,風之庭,湯屋,合格
598,10412,金山區,天一方溫泉,湯屋,合格
599,10412,金山區,和昇會館攬月會館,湯屋,合格
600,10412,金山區,金山海灣溫泉旅館,湯屋,合格
